,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,Touchscreen,IPS,ppi
0,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,120117,0,1,227.0
1,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.34,80599,0,0,128.0
2,HP,Notebook,Intel Core i5,8,Intel HD,No OS,1.86,51554,0,0,141.0
3,Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,227508,0,1,221.0
4,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,161711,0,1,227.0
5,Acer,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,2.1,35864,0,0,100.0
6,Apple,Ultrabook,Intel Core i7,16,Intel Iris,Mac OS,2.04,191870,0,1,221.0
7,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.34,103889,0,0,128.0
8,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.3,134042,0,0,157.0
9,Acer,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.6,69038,0,1,157.0
10,HP,Notebook,Intel Core i5,4,Intel HD,No OS,1.86,35317,0,0,100.0
11,HP,Notebook,Intel Core i3,4,Intel HD,No OS,1.86,30932,0,0,141.0
12,Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,218768,0,1,221.0
13,Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.2,44731,0,0,141.0
14,Apple,Ultrabook,Other Intel Processor,8,Intel HD,Mac OS,0.92,113187,0,1,226.0
15,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,136153,0,1,227.0
16,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,66797,0,0,141.0
17,Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,256248,0,1,221.0
18,Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,44740,0,0,141.0
19,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.22,87777,1,1,166.0
20,Asus,Netbook,Other Intel Processor,2,Intel HD,Windows 10,0.98,17206,0,0,135.0
21,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,89570,0,1,141.0
22,HP,Notebook,AMD E Series Processor,4,AMD Radeon,No OS,1.86,23132,0,0,100.0
23,Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.62,73432,1,0,166.0
24,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.91,59086,0,0,141.0
25,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.3,37535,0,0,100.0
26,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.35,98536,0,0,128.0
27,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.2,71728,0,0,141.0
28,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.88,116379,0,0,141.0
29,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,80335,0,0,127.0
30,Asus,Notebook,AMD E Series Processor,2,AMD Radeon,Windows 10,1.65,17842,0,0,112.0
31,HP,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,2.71,39361,0,0,127.0
32,Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows 10,1.2,167575,1,0,276.0
33,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.35,89481,0,0,128.0
34,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.44,22325,0,0,112.0
35,Acer,Notebook,Intel Core i3,4,Intel HD,Chrome/Linux/Android,2.1,32905,0,0,100.0
36,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.8,87777,0,1,127.0
37,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.86,43816,0,0,100.0
38,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.1,78811,0,0,141.0
39,Asus,Notebook,Intel Core i3,4,Intel HD,Chrome/Linux/Android,2.0,34878,0,0,141.0
40,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,134400,0,1,141.0
41,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Chrome/Linux/Android,2.3,46891,0,0,100.0
42,Acer,Notebook,Intel Core i5,4,Intel UHD,Windows 10,2.2,61148,0,1,141.0
43,Dell,2 in 1 Convertible,Intel Core i5,12,Nvidia GeForce,Windows 10,2.77,89570,1,0,127.0
44,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,127228,0,1,227.0
45,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.2,33085,0,0,100.0
46,Asus,Gaming,AMD Ryzen Series,8,AMD Radeon,Windows 10,3.2,116468,0,0,127.0
47,Dell,Notebook,Intel Core i5,4,AMD Radeon,Windows 10,2.3,57293,0,0,141.0
48,Asus,Notebook,Other Intel Processor,4,Nvidia GeForce,Windows 10,2.8,41782,0,0,91.0
49,Lenovo,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Chrome/Linux/Android,0.69,28602,1,1,224.0
50,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,75404,0,1,141.0
51,HP,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,1.86,35729,0,0,141.0
52,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.49,98895,0,0,166.0
53,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.4,34429,0,0,100.0
54,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.13,68841,0,0,141.0
55,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.91,39361,0,0,141.0
56,Asus,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.0,52558,0,0,100.0
57,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.43,219577,0,0,127.0
58,Asus,Notebook,Intel Core i3,4,Intel HD,Chrome/Linux/Android,2.0,37209,0,0,141.0
59,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.8,116468,0,0,127.0
60,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.7,78811,0,0,157.0
61,Lenovo,Notebook,Intel Core i3,8,Intel HD,No OS,1.7,53706,0,1,157.0
62,Asus,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.4,84370,0,0,157.0
63,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.86,61865,0,0,141.0
64,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.8,177796,0,0,141.0
65,HP,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,1.86,39333,0,0,100.0
66,HP,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.44,20532,0,0,112.0
67,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.9,49223,0,0,141.0
68,Asus,Gaming,Intel Core i7,12,Nvidia GeForce,Chrome/Linux/Android,3.0,85087,0,0,127.0
69,Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.4,85625,0,1,166.0
70,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,78004,0,0,141.0
71,MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.7,98178,0,0,127.0
72,Acer,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.1,34878,0,0,112.0
73,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,85087,0,0,141.0
74,Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,46534,0,0,141.0
75,Dell,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.02,76659,0,0,141.0
76,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,47520,0,0,141.0
77,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,87598,0,0,127.0
78,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.88,98282,0,1,141.0
79,Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,0.92,135387,0,1,226.0
80,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.63,77108,0,0,157.0
81,Lenovo,Notebook,AMD A Series Processor,4,AMD R4,Windows 10,2.2,35774,0,0,141.0
82,Acer,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,2.1,35416,0,0,100.0
83,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,120951,0,1,141.0
84,HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.83,62672,0,1,141.0
85,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.96,53705,0,0,141.0
86,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.2,129917,0,1,141.0
87,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.21,147849,0,1,166.0
88,Asus,Gaming,AMD F Series Processor,8,AMD Radeon,Windows 10,2.45,62672,0,0,141.0
89,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,61776,0,0,141.0
90,HP,Notebook,Intel Core i7,16,Intel UHD,Windows 10,1.49,107323,0,0,166.0
91,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.65,107144,0,0,141.0
92,Asus,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.25,94053,0,0,157.0
93,Acer,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.5,75942,1,1,166.0
94,Dell,Notebook,Intel Core i7,8,AMD Radeon,Chrome/Linux/Android,2.2,53787,0,0,141.0
95,Dell,Notebook,Intel Core i3,4,AMD Radeon,Chrome/Linux/Android,2.2,43485,0,0,141.0
96,Asus,Notebook,Intel Core i3,6,Nvidia GeForce,Windows 10,2.0,51734,0,0,141.0
97,HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,2.62,111985,0,1,141.0
98,HP,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,1.91,64466,0,0,141.0
99,HP,Notebook,AMD E Series Processor,4,AMD Radeon,Windows 10,2.1,31291,0,0,141.0
100,Dell,Notebook,Intel Core i5,8,AMD Radeon,Chrome/Linux/Android,2.2,58010,0,0,141.0
101,HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.38,100330,0,1,166.0
102,HP,Notebook,Intel Core i5,6,Nvidia GeForce,Windows 10,1.58,59086,0,1,157.0
103,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.85,37200,0,0,141.0
104,Asus,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.3,106964,0,1,157.0
105,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.2,116468,0,0,141.0
106,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.58,132697,0,1,157.0
107,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.5,113151,0,0,141.0
108,Dell,Ultrabook,Intel Core i7,8,Intel Iris,Windows 10,1.23,123641,1,0,276.0
109,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.37,125434,1,1,166.0
110,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.63,64735,0,1,112.0
111,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.21,146056,0,1,166.0
112,HP,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.26,125433,1,1,166.0
113,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.63,97191,0,0,157.0
114,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.16,101345,0,1,141.0
115,Asus,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.0,50568,0,0,127.0
116,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.7,100240,0,0,141.0
117,Acer,Notebook,Intel Core i3,6,Intel HD,Windows 10,2.1,42947,1,1,141.0
118,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,1.8,200973,0,0,141.0
119,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.2,56396,0,0,141.0
120,HP,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,113958,0,0,127.0
121,Acer,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,2.1,40437,0,0,100.0
122,HP,Notebook,Other Intel Processor,4,Intel HD,No OS,1.86,23222,0,0,100.0
123,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.63,72804,0,0,157.0
124,Asus,Notebook,AMD E Series Processor,4,AMD Radeon,Windows 10,1.65,24925,0,0,112.0
125,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.8,125165,0,0,127.0
126,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.5,83204,0,0,127.0
127,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.36,57292,0,0,100.0
128,Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.2,40257,0,0,141.0
129,Acer,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.6,79259,0,1,157.0
130,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,51286,0,0,141.0
131,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.05,53617,0,0,100.0
132,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.63,88584,0,0,157.0
133,Lenovo,Notebook,Other Intel Processor,4,Intel HD,No OS,1.9,22627,0,0,100.0
134,Asus,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,3.0,84101,0,0,127.0
135,Lenovo,Notebook,Intel Core i5,4,Nvidia GeForce,No OS,2.2,44740,0,0,141.0
136,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.32,62672,0,1,166.0
137,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,3.0,58727,0,1,127.0
138,Lenovo,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,1.75,100062,0,1,157.0
139,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,No OS,2.4,77915,0,1,141.0
140,Toshiba,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,53975,0,0,100.0
141,HP,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,1.86,33085,0,0,100.0
142,Asus,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.25,98536,0,0,157.0
143,HP,Ultrabook,Other Intel Processor,8,Intel HD,Windows 10,0.97,180575,1,1,352.0
144,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.0,30843,0,0,141.0
145,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,181920,0,0,127.0
146,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,40078,0,0,100.0
147,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.56,112009,0,0,141.0
148,Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.62,80604,0,0,141.0
149,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.9,44651,0,0,100.0
150,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.8,169457,0,0,127.0
151,HP,Ultrabook,Intel Core i5,4,Intel HD,Windows 10,1.48,97012,0,0,157.0
152,HP,Notebook,Intel Core i5,6,AMD Radeon,Windows 10,1.91,55500,0,0,141.0
153,Lenovo,2 in 1 Convertible,Intel Core i3,4,Intel HD,Windows 10,1.74,56396,1,1,157.0
154,Asus,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.1,117903,1,0,166.0
155,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.56,94053,1,0,141.0
156,Toshiba,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,40078,0,0,100.0
157,Asus,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,2.03,36133,0,0,100.0
158,Acer,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,3.0,72176,0,1,127.0
159,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.13,65272,0,0,141.0
160,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,96743,0,1,141.0
161,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,31202,0,0,100.0
162,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,161298,0,1,141.0
163,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,32592,0,0,100.0
164,Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.56,95084,0,0,141.0
165,Acer,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,3.0,76570,0,1,127.0
166,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,67604,0,1,166.0
167,HP,Notebook,Intel Core i5,6,AMD Radeon,Windows 10,2.71,62672,0,1,127.0
168,Lenovo,Notebook,AMD A Series Processor,4,AMD Radeon,No OS,2.2,27705,0,0,100.0
169,Toshiba,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.0,43844,0,0,100.0
170,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,82756,0,0,127.0
171,Dell,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.3,41154,0,0,100.0
172,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,40257,0,0,100.0
173,MSI,Gaming,Intel Core i7,32,Nvidia GTX,Windows 10,4.4,250958,0,0,120.0
174,Lenovo,Notebook,Intel Core i5,8,AMD R17M-M1-70,Windows 10,1.9,72894,0,0,141.0
175,HP,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.29,134400,1,1,331.0
176,Dell,Notebook,Intel Core i7,16,AMD Radeon,Chrome/Linux/Android,2.02,94053,0,0,141.0
177,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.23,125434,0,0,166.0
178,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.4,165781,1,1,317.0
179,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,71100,0,0,100.0
180,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.77,138883,1,0,127.0
181,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,214915,1,0,282.0
182,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,No OS,2.4,69845,0,1,141.0
183,Acer,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.12,88674,0,1,166.0
184,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.8,97281,0,0,127.0
185,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.42,253200,1,0,210.0
186,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.8,62583,0,0,106.0
187,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.62,75225,1,1,166.0
188,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,81949,0,1,127.0
189,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.49,85984,0,0,166.0
190,HP,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.35,123641,0,1,127.0
191,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,93695,0,0,127.0
192,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,165423,0,1,282.0
193,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,44202,0,0,100.0
194,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.23,66528,0,0,141.0
195,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.2,156815,0,1,141.0
196,Dell,Workstation,Other Intel Processor,16,Nvidia Quadro,Windows 10,2.8,273911,0,0,282.0
197,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,No OS,2.4,125345,0,0,141.0
198,Dell,Notebook,Intel Core i3,6,Intel HD,Windows 10,2.3,39361,1,0,100.0
199,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.21,174747,1,1,331.0
200,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.2,129917,0,0,166.0
201,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.2,53527,0,0,100.0
202,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Chrome/Linux/Android,2.4,69845,0,0,141.0
203,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,126152,0,0,127.0
204,HP,Notebook,Intel Core i3,4,Intel HD,No OS,2.1,31291,0,0,141.0
205,Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,49223,0,0,141.0
206,Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.4,83552,0,1,166.0
207,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.8,52810,0,0,106.0
208,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.63,92439,0,0,157.0
209,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.6,103019,0,0,157.0
210,Dell,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.62,114675,1,0,166.0
211,Dell,Notebook,Intel Core i5,8,AMD Radeon,Chrome/Linux/Android,2.2,60731,0,0,141.0
212,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.74,80604,0,1,157.0
213,Toshiba,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.2,122207,0,0,166.0
214,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.1,71190,0,0,141.0
215,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.42,220235,0,1,127.0
216,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,74597,0,0,141.0
217,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.3,77019,1,0,141.0
218,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.0,68949,0,0,141.0
219,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.69,79887,0,0,127.0
220,HP,Notebook,Intel Core i7,8,AMD FirePro,Windows 10,1.9,113779,0,0,141.0
221,Asus,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.37,35773,0,0,100.0
222,HP,Notebook,AMD E Series Processor,4,AMD Radeon,Windows 10,2.1,29588,0,0,100.0
223,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.2,134400,0,1,141.0
224,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.6,77018,0,0,157.0
225,Acer,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.6,61776,1,1,166.0
226,Dell,Notebook,Intel Core i7,16,AMD Radeon,Chrome/Linux/Android,2.36,80604,0,0,141.0
227,Acer,Notebook,Intel Core i3,4,Intel HD,Chrome/Linux/Android,2.1,34967,0,0,100.0
228,Asus,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,2.2,51554,0,0,141.0
229,Asus,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,4.7,348777,0,0,127.0
230,Acer,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,75852,0,1,141.0
231,Lenovo,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.2,52810,0,0,100.0
232,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.1,102661,0,0,127.0
233,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.69,79708,0,0,127.0
234,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.56,78811,0,0,141.0
235,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.38,96743,1,1,158.0
236,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,88315,0,0,141.0
237,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.04,50120,1,0,100.0
238,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.6,268890,0,0,127.0
239,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,60520,0,1,166.0
240,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,182906,0,1,227.0
241,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,2.08,73432,1,1,141.0
242,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.3,161298,0,0,127.0
243,Asus,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,1.68,42051,0,0,100.0
244,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.37,165781,1,1,158.0
245,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,3.0,62941,0,1,127.0
246,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.41,85087,0,0,166.0
