,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,Touchscreen,IPS,ppi
247,HP,Notebook,AMD A Series Processor,8,AMD Radeon,Windows 10,1.91,39979,0,0,100.0
248,HP,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,94950,0,1,127.0
249,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.14,224060,0,0,127.0
250,Lenovo,2 in 1 Convertible,Intel Core i7,8,Nvidia GeForce,Windows 10,2.0,152332,1,1,141.0
251,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.8,102392,0,0,127.0
252,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.2,39809,0,0,141.0
253,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,64735,0,1,141.0
254,Dell,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.18,58907,0,0,141.0
255,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.24,50658,0,0,141.0
256,Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,2.67,71638,1,0,141.0
257,Asus,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.1,134400,1,0,166.0
258,Lenovo,Notebook,Intel Core i5,4,Intel HD,No OS,2.2,41871,0,0,141.0
259,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,91274,0,0,127.0
260,Lenovo,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.05,78901,0,0,141.0
261,Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,175635,0,1,227.0
262,Asus,Gaming,AMD Ryzen Series,16,AMD Radeon,Windows 10,3.2,138883,0,0,127.0
263,Dell,Notebook,Intel Core i7,8,AMD Radeon,Chrome/Linux/Android,2.14,65906,0,0,141.0
264,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.36,224060,1,0,210.0
265,Toshiba,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,72804,0,0,100.0
266,Dell,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.3,63934,0,0,100.0
267,Dell,Notebook,Intel Core i7,8,AMD Radeon,Chrome/Linux/Android,2.8,98536,0,0,127.0
268,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,66797,0,1,141.0
269,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.8,43844,0,0,106.0
270,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.8,76121,0,0,127.0
271,Lenovo,Notebook,Intel Core i7,6,Nvidia GeForce,Windows 10,2.8,77018,0,0,106.0
272,Dell,Notebook,Intel Core i3,4,AMD Radeon,Chrome/Linux/Android,2.25,38374,0,0,141.0
273,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,74328,0,1,141.0
274,Lenovo,Notebook,Intel Core i5,6,Intel HD,Windows 10,2.2,51913,0,0,141.0
275,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,3.0,85267,0,1,141.0
276,Acer,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.15,59086,1,1,141.0
277,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.95,98357,0,1,141.0
278,Asus,Ultrabook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.7,87598,0,0,141.0
279,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,105709,0,1,141.0
280,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.2,59087,0,0,141.0
281,Acer,Notebook,Other Intel Processor,2,Intel HD,Chrome/Linux/Android,2.19,17842,0,0,100.0
282,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.0,106426,0,0,127.0
283,HP,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.54,43844,0,0,106.0
284,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.0,163988,0,0,141.0
285,Lenovo,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.05,66259,0,0,141.0
286,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.2,116468,0,1,141.0
287,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Chrome/Linux/Android,2.5,87777,0,0,141.0
288,Dell,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,3.42,258657,0,0,127.0
289,Lenovo,Notebook,AMD A Series Processor,6,AMD Radeon,Windows 10,2.4,44740,0,0,141.0
290,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.63,131621,0,0,141.0
291,Asus,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.3,45637,0,0,112.0
292,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,190259,0,0,127.0
293,Lenovo,Notebook,Intel Core i5,6,Nvidia GeForce,Windows 10,2.8,58189,0,0,106.0
294,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.2,49223,0,0,100.0
295,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,113420,0,0,141.0
296,Lenovo,Notebook,Other Intel Processor,4,Intel HD,No OS,2.2,32277,0,0,100.0
297,HP,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.28,177078,1,0,166.0
298,Toshiba,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,93515,0,1,141.0
299,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.3,73432,0,0,141.0
300,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.86,42051,0,0,141.0
301,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.1,89570,0,1,166.0
302,Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows 10,1.21,224060,1,1,331.0
303,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.8,188196,0,1,141.0
304,Acer,Notebook,AMD A Series Processor,8,AMD Radeon,Windows 10,2.23,42051,0,0,141.0
305,Asus,2 in 1 Convertible,Other Intel Processor,2,Intel HD,Windows 10,1.1,24656,1,0,135.0
306,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.33,75673,0,0,141.0
307,HP,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.29,219577,1,1,331.0
308,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Chrome/Linux/Android,1.45,41235,0,0,118.0
309,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.95,87867,0,0,157.0
310,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.4,43485,0,0,135.0
311,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.48,115841,0,0,157.0
312,Lenovo,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,2.79,52810,0,0,106.0
313,Asus,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.0,98088,0,0,157.0
314,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.1,80873,0,1,100.0
315,Acer,Notebook,AMD A Series Processor,8,AMD Radeon,Windows 10,2.2,59086,0,0,100.0
316,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.44,26181,0,0,112.0
317,Acer,Notebook,Intel Core i5,6,Intel HD,Windows 10,2.23,49223,0,0,100.0
318,Asus,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.7,94134,0,0,141.0
319,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.26,119696,0,0,176.0
320,Dell,Notebook,Intel Core i7,32,Nvidia GeForce,Windows 10,2.06,236613,1,0,282.0
321,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,107502,0,0,127.0
322,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,84549,0,1,141.0
323,Asus,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.0,119606,0,0,157.0
324,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.85,40257,0,0,141.0
325,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,89570,0,0,141.0
326,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.48,113689,0,0,157.0
327,Dell,Ultrabook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.9,94053,0,1,141.0
328,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.84,102571,0,0,141.0
329,Asus,Notebook,Other Intel Processor,4,Intel HD,Chrome/Linux/Android,2.0,24656,0,0,100.0
330,Dell,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.0,102459,0,0,141.0
331,Dell,Notebook,Other Intel Processor,4,Intel HD,Chrome/Linux/Android,2.2,24648,0,0,100.0
332,Lenovo,Notebook,AMD A Series Processor,12,AMD Radeon,Windows 10,2.2,80604,0,0,141.0
333,HP,Notebook,Intel Core i3,8,Nvidia GeForce,Windows 10,2.1,64197,0,1,141.0
334,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.4,188196,1,1,317.0
335,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.2,141573,0,0,166.0
336,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,101226,0,1,141.0
337,HP,Notebook,Other Intel Processor,2,Intel HD,Windows 10,1.44,25015,0,0,112.0
338,Dell,Ultrabook,Intel Core i7,16,Intel UHD,Windows 10,1.88,144170,0,0,141.0
339,Asus,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Windows 10,1.5,33622,1,0,135.0
340,Dell,Ultrabook,Intel Core i5,8,AMD Radeon,Windows 10,1.9,59445,0,0,141.0
341,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,181778,1,0,282.0
342,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.84,116917,0,0,141.0
343,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,126331,0,0,127.0
344,HP,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2.6,155853,0,0,141.0
345,Toshiba,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,125793,0,1,141.0
346,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.02,87051,0,0,141.0
347,Lenovo,Notebook,Other Intel Processor,4,Intel HD,No OS,2.2,28870,0,0,100.0
348,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.65,89570,0,0,141.0
349,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.36,49974,1,0,100.0
350,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.36,127945,0,0,157.0
351,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.86,39361,0,0,100.0
352,Asus,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,84729,0,0,157.0
353,Lenovo,Notebook,Intel Core i5,6,Nvidia GeForce,Windows 10,2.8,64466,0,0,106.0
354,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.86,57293,0,0,141.0
355,Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,44740,0,0,100.0
356,HP,Notebook,Other Intel Processor,8,Intel HD,Windows 10,2.04,34878,0,0,100.0
357,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.8,97281,0,0,127.0
358,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,No OS,2.4,72535,0,1,141.0
359,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.33,80604,0,0,141.0
360,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.36,156905,0,1,157.0
361,Asus,2 in 1 Convertible,Intel Core i7,12,Nvidia GeForce,Windows 10,2.26,98536,1,0,141.0
362,Acer,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,2.1,38195,0,0,100.0
363,Asus,Gaming,AMD Ryzen Series,16,AMD Radeon,Windows 10,3.25,197162,0,1,127.0
364,Lenovo,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,2.6,43844,0,0,106.0
365,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.62,77915,1,0,166.0
366,HP,Notebook,AMD A Series Processor,4,AMD Radeon,Windows 10,1.91,43843,0,0,141.0
367,Lenovo,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.59,49582,0,1,135.0
368,Dell,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.8,27705,0,0,100.0
369,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.5,25643,0,0,112.0
370,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Chrome/Linux/Android,2.4,75852,0,0,141.0
371,HP,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.35,106785,0,1,127.0
372,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,1.85,36178,0,0,141.0
373,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.3,148387,0,1,141.0
374,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.5,98536,0,1,157.0
375,Asus,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.1,156806,1,0,166.0
376,Lenovo,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.13,204604,0,1,210.0
377,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.5,49223,0,1,166.0
378,Dell,Workstation,Intel Core i5,8,AMD FirePro,Windows 10,2.23,122745,0,0,141.0
379,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2.0,191424,0,1,141.0
380,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.42,224957,1,0,210.0
381,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.0,93157,0,0,127.0
382,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.0,142649,0,0,127.0
383,Acer,Notebook,Intel Core i5,12,Nvidia GeForce,Windows 10,2.2,62223,0,1,100.0
384,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,120951,0,0,127.0
385,Dell,Notebook,Intel Core i7,8,AMD Radeon,Chrome/Linux/Android,2.33,69833,0,0,141.0
386,HP,Ultrabook,AMD A Series Processor,4,AMD Radeon,Windows 10,1.91,44740,0,0,141.0
387,Lenovo,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.1,110242,0,1,141.0
388,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.9,84101,0,1,157.0
389,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,1.78,243158,1,0,282.0
390,Lenovo,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.13,235358,0,1,210.0
391,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.2,27436,0,0,100.0
392,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,137090,0,0,127.0
393,Lenovo,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.1,102616,0,1,141.0
394,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Chrome/Linux/Android,2.5,78811,0,0,141.0
395,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.8,201645,0,0,127.0
396,Asus,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.1,167933,0,0,157.0
397,Toshiba,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.2,156636,0,0,166.0
398,Dell,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.36,150629,0,0,157.0
399,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.2,36671,0,0,141.0
400,Lenovo,Notebook,Other Intel Processor,2,Intel HD,Windows 10,1.15,27297,0,0,135.0
401,Lenovo,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2.67,172596,0,0,141.0
402,Lenovo,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.7,174209,0,1,210.0
403,HP,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.1,42051,0,0,141.0
404,Acer,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.6,70743,1,1,166.0
405,Asus,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.27,83204,1,1,166.0
406,Dell,Notebook,Intel Core i5,4,AMD Radeon,Chrome/Linux/Android,2.3,53697,0,0,141.0
407,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.65,61776,0,0,118.0
408,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.43,134490,0,0,157.0
409,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.14,48412,0,0,100.0
410,Lenovo,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.75,108971,0,1,157.0
411,Lenovo,2 in 1 Convertible,Intel Core i7,16,Nvidia GeForce,Windows 10,2.0,170264,1,1,282.0
412,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.31,127945,0,0,141.0
413,Asus,Notebook,Intel Core i3,8,Nvidia GeForce,Chrome/Linux/Android,2.3,53527,0,0,141.0
414,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.42,250958,0,1,170.0
415,Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.62,103916,0,1,141.0
416,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.02,102428,0,0,141.0
417,Dell,Ultrabook,Intel Core i7,8,Intel HD,Chrome/Linux/Android,1.6,98536,0,0,157.0
418,HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,3.35,179230,0,0,127.0
419,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.4,90557,0,1,166.0
420,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.7,53706,0,1,157.0
421,Lenovo,Workstation,Intel Core i7,16,Nvidia GeForce,Windows 10,2.3,219219,0,1,282.0
422,Lenovo,Notebook,Intel Core i7,16,Nvidia Quadro,Windows 10,2.5,219577,0,0,141.0
423,Asus,Gaming,AMD Ryzen Series,8,AMD Radeon,Windows 10,3.2,151974,0,0,127.0
424,HP,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,31112,0,0,100.0
425,Lenovo,Ultrabook,Intel Core i7,24,Intel HD,Windows 10,1.32,213570,0,0,210.0
426,Asus,Notebook,Intel Core i5,4,Intel HD,Chrome/Linux/Android,2.0,50120,0,0,141.0
427,Lenovo,Notebook,AMD A Series Processor,8,AMD Radeon,Windows 10,2.8,46534,0,0,106.0
428,Dell,Notebook,Intel Core i5,4,AMD Radeon,Windows 10,2.2,67155,0,0,141.0
429,Lenovo,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.36,128124,0,1,176.0
430,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.2,31291,0,0,141.0
431,HP,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,98536,0,1,141.0
432,Dell,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.64,105709,0,0,157.0
433,Acer,Notebook,Intel Core i5,4,Intel HD,Chrome/Linux/Android,2.4,39612,0,0,100.0
434,Dell,Workstation,Other Intel Processor,8,Nvidia Quadro,Windows 10,2.23,178692,0,0,141.0
435,MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.2,92147,0,0,141.0
436,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.91,52810,0,0,100.0
437,Dell,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,2.17,177078,0,1,141.0
438,HP,Workstation,Intel Core i7,8,Intel HD,Windows 10,2.31,137538,0,1,141.0
439,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.65,120593,0,0,157.0
440,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.36,87777,0,0,141.0
441,Dell,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Windows 10,1.47,42947,1,0,135.0
442,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,4.42,183444,0,1,127.0
443,HP,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.5,57373,0,0,106.0
444,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.23,48775,0,0,141.0
445,Acer,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.4,39002,0,0,135.0
446,Asus,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.37,67155,0,0,141.0
447,Lenovo,Notebook,Intel Core i7,8,AMD Radeon,No OS,1.5,71638,0,1,157.0
448,Lenovo,Notebook,Intel Core i7,8,Nvidia Quadro,Windows 10,2.67,187389,0,0,141.0
449,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.0,27257,0,0,100.0
450,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,42051,0,0,100.0
451,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.02,68052,0,0,141.0
452,HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,3.78,152332,0,1,127.0
453,Lenovo,Ultrabook,Intel Core i7,12,Intel HD,Windows 10,1.4,166588,0,1,210.0
454,HP,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.29,179230,1,1,331.0
455,HP,Notebook,Intel Core i5,8,AMD FirePro,Windows 10,1.9,103468,0,0,141.0
456,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.42,165140,1,0,166.0
457,Asus,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.06,116468,0,1,282.0
458,Dell,Notebook,Intel Core i3,8,Intel HD,Windows 10,1.79,66348,0,0,112.0
459,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,1.78,215901,0,0,141.0
460,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.7,122296,0,0,157.0
461,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.2,60520,0,0,141.0
462,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.05,149912,0,1,166.0
463,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.16,113151,0,1,141.0
464,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.18,52595,0,0,100.0
465,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,65093,0,1,166.0
466,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.3,50658,0,0,100.0
467,Lenovo,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.75,94053,0,1,157.0
468,Dell,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,2.17,209625,0,1,141.0
469,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,170264,0,0,141.0
470,Lenovo,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.36,161209,0,1,176.0
471,Asus,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,0.91,174837,0,0,176.0
472,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.3,90735,0,1,141.0
473,Toshiba,Ultrabook,Intel Core i7,32,Intel HD,Windows 10,1.05,250958,1,0,166.0
474,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,1.99,121041,0,0,141.0
475,Acer,Notebook,AMD A Series Processor,8,AMD Radeon,Windows 10,2.2,51913,0,0,100.0
476,Asus,Gaming,Intel Core i7,24,Nvidia GeForce,Windows 10,4.33,113779,1,1,127.0
477,Lenovo,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.3,98536,0,1,125.0
478,Lenovo,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.17,80595,0,0,141.0
479,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.48,156815,0,0,157.0
480,Lenovo,Notebook,Intel Core i3,8,Intel HD,Windows 10,1.4,85087,0,1,166.0
481,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.3,81680,0,1,141.0
482,Asus,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.2,30484,0,0,135.0
483,HP,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,1.91,55499,0,0,100.0
484,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.4,143366,1,1,158.0
485,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,26808,0,0,112.0
486,Lenovo,Netbook,Other Intel Processor,4,Intel HD,Chrome/Linux/Android,1.25,23760,0,0,135.0
487,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.44,85087,0,0,166.0
488,Asus,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.0,109744,0,0,141.0
489,Acer,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,2.2,54962,0,1,141.0
